Street,City,County,State,Zipcode,Price,WalkScore,Bike_Score,Beds,Bath,Sqft,Property_Type,Year_Built,Status
5578 gold trl,Wilseyville,Calaveras-County,Ca,95257,510000.0,0,9.0,3.0,2.0,2032.0,Single family residential,1982.0,Active
2143 quiver st,Copperopolis,Calaveras-County,Ca,95228,245000.0,1,9.0,3.0,2.0,1550.0,Mobile/manufactured home,1992.0,Active
7557 baldwin st,Valley springs,Calaveras-County,Ca,95252,420000.0,3,0.0,3.0,2.0,1334.0,Single family residential,2021.0,Active
10519 thompson way,Valley springs,Calaveras-County,Ca,95252,749000.0,0,12.0,3.0,2.0,1813.0,Single family residential,1955.0,Active
195 dutch kate rd #195,Murphys,Calaveras-County,Ca,95247,219000.0,44,28.0,2.0,2.0,1344.0,Mobile/manufactured home,1978.0,Active
2413 hangtree trl,Arnold,Calaveras-County,Ca,95223,399000.0,0,22.0,3.0,2.0,1416.0,Single family residential,1976.0,Active
6430 goodell rd,Valley springs,Calaveras-County,Ca,95252,699000.0,0,5.0,5.0,4.0,3004.0,Multi-family (2-4 unit),2007.0,Active
95 country ln,West point,Calaveras-County,Ca,95255,290000.0,33,19.0,2.0,1.5,1304.0,Single family residential,1957.0,Active
3683 poag lane ln,Murphys,Calaveras-County,Ca,95247,549900.0,65,37.0,3.0,2.5,2243.0,Single family residential,1994.0,Active
2689 hunter st,Angels camp,Calaveras-County,Ca,95222,399000.0,0,0.0,3.0,3.0,1456.0,Single family residential,1991.0,Active
3102 quail hill rd,Copperopolis,Calaveras-County,Ca,95228,448000.0,2,1.0,3.0,2.0,1440.0,Single family residential,2006.0,Active
1091 paradise peak rd,Valley springs,Calaveras-County,Ca,95252,555000.0,0,0.0,3.0,2.5,2801.0,Single family residential,2005.0,Active
8109 hwy 12,Wallace,Calaveras-County,Ca,95252,390000.0,12,24.0,2.0,1.0,1138.0,Single family residential,1930.0,Active
218 rock ridge ln #273,Copperopolis,Calaveras-County,Ca,95228,724900.0,8,17.0,2.0,2.5,2640.0,Single family residential,2003.0,Active
8664 - 8674 e center st,Mokelumne hill,Calaveras-County,Ca,95245,889000.0,34,10.0,6.0,4.0,2542.0,Multi-family (2-4 unit),1977.0,Active
517 spyglass cir,Angels camp,Calaveras-County,Ca,95222,597000.0,23,3.0,3.0,2.5,2251.0,Single family residential,2019.0,Active
1330 calaveritas rd unit sp34,San andreas,Calaveras-County,Ca,95249,95000.0,8,8.0,2.0,2.0,1440.0,Mobile/manufactured home,1980.0,Active
383 avery sheep ranch rd,Murphys,Calaveras-County,Ca,95224,425000.0,8,10.0,3.0,2.0,1262.0,Single family residence,1976.0,Active
3297 flo ln,Dorrington,Calaveras-County,Ca,95223,559000.0,10,24.0,3.0,2.5,2212.0,Single family residential,1975.0,Active
237 wyldewood dr,Murphys,Calaveras-County,Ca,95247,459000.0,31,19.0,3.0,2.0,1232.0,Single family residential,1988.0,Active
66 knolls ct,Copperopolis,Calaveras-County,Ca,95228,720900.0,0,16.0,3.0,2.5,2416.0,Single family residential,2004.0,Active
32 dowling rd,West point,Calaveras-County,Ca,95255,329000.0,18,6.0,3.0,2.0,1450.0,Single family residential,1971.0,Active
7406 stage stop ct,Valley springs,Calaveras-County,Ca,95252,1100000.0,0,15.0,4.0,4.5,3680.0,Single family residential,2002.0,Active
9807 wendell rd,Mountain ranch,Calaveras-County,Ca,95246,465000.0,0,0.0,3.0,2.5,2387.0,Single family residential,1993.0,Active
5833 parrotts ferry rd,Vallecito,Calaveras-County,Ca,95251,999895.0,0,8.0,3.0,4.5,2205.0,Multi-family (2-4 unit),1996.0,Active
109 barney way,West point,Calaveras-County,Ca,95255,325000.0,4,1.0,3.0,2.0,1064.0,Single family residential,1970.0,Active
13071 highway 26,Mokelumne hill,Calaveras-County,Ca,95245,660000.0,0,0.0,3.0,2.0,1457.0,Single family residential,2017.0,Active
975 summit level,Rail road flat,Calaveras-County,Ca,95248,599000.0,3,4.0,3.0,3.0,2660.0,Single family residential,2004.0,Active
17 flagstone ct,Copperopolis,Calaveras-County,Ca,95228,898000.0,1,15.0,3.0,3.5,3149.0,Single family residential,2007.0,Active
2741 arrowhead st,Copperopolis,Calaveras-County,Ca,95228,624987.0,3,0.0,3.0,2.0,1638.0,Single family residential,1980.0,Active
2133 pardee,Arnold,Calaveras-County,Ca,95223,1137000.0,16,3.0,4.0,3.0,4202.0,Single family residential,1991.0,Active
192 bull wacker run,Arnold,Calaveras-County,Ca,95223,399999.0,29,14.0,3.0,2.5,1450.0,Single family residential,2005.0,Active
2296 choctaw rd #837,Copperopolis,Calaveras-County,Ca,95228,599900.0,0,0.0,3.0,2.0,1886.0,Single family residential,2007.0,Active
6738 dalee rd,Valley springs,Calaveras-County,Ca,95252,599000.0,0,0.0,3.0,2.0,1974.0,Single family residential,1990.0,Active
526 jessica ct,Mokelumne hill,Calaveras-County,Ca,95245,810000.0,0,0.0,3.0,3.5,3429.0,Single family residential,1992.0,Active
417 blossom ln,Mokelumne hill,Calaveras-County,Ca,95245,425000.0,0,0.0,2.0,2.0,1316.0,Single family residential,1997.0,Active
992 cabernet ct,Murphys,Calaveras-County,Ca,95247,1699000.0,15,20.0,4.0,3.0,3220.0,Single family residential,1998.0,Active
1330 calaveritas rd #2,San andreas,Calaveras-County,Ca,95249,155000.0,3,4.0,2.0,2.0,1536.0,Mobile/manufactured home,1978.0,Active
4780 june ave,Wilseyville,Calaveras-County,Ca,95257,399000.0,4,2.0,3.0,2.0,1602.0,Single family residential,1996.0,Active
196 snowberry ct #4,Murphys,Calaveras-County,Ca,95247,300000.0,4,1.0,2.0,2.0,1344.0,Condo,1987.0,Active
1528 lilac dr,Arnold,Calaveras-County,Ca,95223,399000.0,32,6.0,2.0,1.5,1282.0,Single family residential,1985.0,Active
659 barney way,West point,Calaveras-County,Ca,95255,589000.0,0,0.0,3.0,3.0,2775.0,Single family residential,1979.0,Active
3153 hartvickson ln,Valley springs,Calaveras-County,Ca,95252,470000.0,1,2.0,4.0,2.0,1680.0,Single family residential,1978.0,Active
8288 prospect st,Mokelumne hill,Calaveras-County,Ca,95245,290000.0,36,11.0,2.0,1.0,1008.0,Single family residential,1985.0,Active
4353 champion ct,Wilseyville,Calaveras-County,Ca,95257,579000.0,0,0.0,3.0,4.0,3078.0,Single family residential,1986.0,Active
15720 s gulch rd,Valley springs,Calaveras-County,Ca,95252,1099000.0,0,0.0,3.0,2.5,2979.0,Single family residential,2003.0,Active
1182 suzanne dr,Angels camp,Calaveras-County,Ca,95222,499900.0,9,16.0,3.0,2.5,1673.0,Single family residential,1990.0,Active
3466 howard rd,San andreas,Calaveras-County,Ca,95249,989000.0,0,0.0,2.0,2.0,953.0,Single family residential,2020.0,Active
4891 hillvale dr,Valley springs,Calaveras-County,Ca,95252,1299000.0,0,0.0,3.0,3.0,4136.0,Single family residential,1994.0,Active
22724 westpoint pioneer rd,West point,Calaveras-County,Ca,95255,480000.0,38,15.0,3.0,2.0,2078.0,Single family residential,1960.0,Active
2285 oak creek dr,Copperopolis,Calaveras-County,Ca,95228,669000.0,7,17.0,3.0,2.5,2547.0,Single family residential,2002.0,Active
10607 limestone dr,Wallace,Calaveras-County,Ca,95254,945000.0,0,16.0,3.0,2.0,1519.0,Single family residential,1998.0,Active
3011 quail hill rd,Copperopolis,Calaveras-County,Ca,95228,399950.0,5,1.0,2.0,2.0,1280.0,Single family residential,1993.0,Active
8141 westhill,Valley springs,Calaveras-County,Ca,95252,519990.0,6,0.0,4.0,2.0,1939.0,Single family residential,2000.0,Active
1620 wells fargo station rd,Mokelumne hill,Calaveras-County,Ca,95245,275000.0,0,1.0,1.0,1.0,776.0,Single family residential,1948.0,Active
18530 baker riley way,Mokelumne hill,Calaveras-County,Ca,95245,300000.0,0,0.0,3.0,2.0,1184.0,Single family residential,1969.0,Active
1631 valentine dr,West point,Calaveras-County,Ca,95255,339000.0,0,0.0,3.0,3.0,1796.0,Single family residential,1963.0,Active
6437 crail way,Valley springs,Calaveras-County,Ca,95252,650000.0,0,12.0,3.0,3.0,3251.0,Single family residential,2000.0,Active
10934 highway 26,Mokelumne hill,Calaveras-County,Ca,95245,590000.0,0,0.0,3.0,2.0,1500.0,Single family residential,2019.0,Active
971 sequoia cir,Copperopolis,Calaveras-County,Ca,95228,119000.0,21,15.0,2.0,1.0,920.0,Single-wide mobile home,1980.0,Active
8085 camp seco tpke,Mokelumne hill,Calaveras-County,Ca,95245,585000.0,1,0.0,4.0,2.5,2232.0,Single family residential,1980.0,Active
3531 hartvickson,Valley springs,Calaveras-County,Ca,95252,322000.0,0,2.0,3.0,2.0,1815.0,Mobile/manufactured home,1999.0,Active
1485 lili valley cir,West point,Calaveras-County,Ca,95255,199999.0,0,0.0,3.0,1.5,1152.0,Single family residential,1966.0,Active
1560 pinto,Angels camp,Calaveras-County,Ca,95222,699000.0,0,0.0,3.0,2.0,2572.0,Mobile/manufactured home,2005.0,Active
1870 thunderbolt,Arnold,Calaveras-County,Ca,95223,1200000.0,9,2.0,4.0,3.5,4165.0,Single family residence,1988.0,Active
1389 hidden valley rd,West point,Calaveras-County,Ca,95255,549000.0,0,0.0,3.0,2.0,1744.0,Multi-family (2-4 unit),1976.0,Active
4426 bald mountain rd,West point,Calaveras-County,Ca,95255,449000.0,0,0.0,3.0,2.0,1152.0,Mobile/manufactured home,1984.0,Active
861 hillsdale rd,West point,Calaveras-County,Ca,95255,419000.0,0,0.0,3.0,2.0,1900.0,Single family residential,1986.0,Active
4482 moran rd #23,Avery,Calaveras-County,Ca,95224,37950.0,14,22.0,2.0,1.0,800.0,Mobile/manufactured home,1970.0,Active
8284 prospect st,Mokelumne hill,Calaveras-County,Ca,95245,285000.0,36,11.0,2.0,1.0,1008.0,Single family residential,1985.0,Active
1591 lily vly,West point,Calaveras-County,Ca,95255,265000.0,0,0.0,2.0,2.5,1800.0,Single family residential,1965.0,Active
6040 bluff view rd,Copperopolis,Calaveras-County,Ca,95228-9458,1999777.0,2,1.0,5.0,3.0,3087.0,Single family residential,2004.0,Active
3837 sheridan rd,Cameron park,El-Dorado-County,Ca,95682,520000.0,31,33.0,3.0,2.0,1791.0,Single family residential,2001.0,Active
1251 tata ln,South lake tahoe,El-Dorado-County,Ca,96150,525000.0,36,34.0,3.0,2.0,1480.0,"Residential, single family",1946.0,Active
2792 alder dr,Camino,El-Dorado-County,Ca,95709,455000.0,3,3.0,3.0,2.0,1601.0,Single family residential,1976.0,Active
6701 shoo fly rd,Placerville,El-Dorado-County,Ca,95667,249000.0,0,0.0,2.0,1.0,864.0,Single family residential,1998.0,Active
889 patricia ln,South lake tahoe,El-Dorado-County,Ca,96150,675000.0,59,65.0,3.0,2.0,1305.0,"Residential, single family",1999.0,Active
1040 truckee dr,South lake tahoe,El-Dorado-County,Ca,96150,1125000.0,62,67.0,3.0,2.0,2472.0,"Residential, single family",2007.0,Active
3165 tomahawk rd,Cool,El-Dorado-County,Ca,95614,425000.0,0,0.0,2.0,1.0,993.0,Single family residential,2004.0,Active
2500 william ave,South lake tahoe,El-Dorado-County,Ca,96150,570000.0,74,89.0,3.0,2.0,1104.0,"Residential, single family",1965.0,Active
9155 bronzewing pl,El dorado hills,El-Dorado-County,Ca,95762,819000.0,24,10.0,4.0,3.0,2527.0,Single family residential,2020.0,Active
5525 meesha ln,Placerville,El-Dorado-County,Ca,95667,935000.0,0,0.0,3.0,3.0,3276.0,Single family residential,2000.0,Active
6036 palermo way,El dorado hills,El-Dorado-County,Ca,95762,1395000.0,1,25.0,5.0,4.0,3727.0,Single family residential,2004.0,Active
5503 bryant rd,Shingle springs,El-Dorado-County,Ca,95682,2150000.0,0,18.0,4.0,3.5,3900.0,Multi-family (2-4 unit),1996.0,Active
1149 stockton ave,South lake tahoe,El-Dorado-County,Ca,96150,1000050.0,58,67.0,3.0,2.0,2032.0,"Residential, single family",2006.0,Active
2559 carnelian cir,El dorado hills,El-Dorado-County,Ca,95762,1089000.0,10,14.0,4.0,3.0,3559.0,Single family residential,1991.0,Active
2622 woody creek ct,Cameron park,El-Dorado-County,Ca,95682,579000.0,18,24.0,3.0,2.0,1600.0,Single family residential,1979.0,Active
5360 brentford way,El dorado hills,El-Dorado-County,Ca,95762,1289000.0,0,0.0,5.0,4.0,4041.0,Single family residential,2015.0,Active
2935 letitia ave,Placerville,El-Dorado-County,Ca,95667,450000.0,14,19.0,3.0,2.0,1307.0,Single family residential,1991.0,Active
5019 ashland dr,Shingle springs,El-Dorado-County,Ca,95682,799000.0,4,12.0,5.0,3.5,2784.0,Single family residential,2000.0,Active
947 merrill ct,El dorado hills,El-Dorado-County,Ca,95762,900000.0,24,5.0,5.0,4.5,3457.0,Single family residential,2020.0,Active
2780 brown bear trl,Cool,El-Dorado-County,Ca,95614,899000.0,0,0.0,3.0,2.5,3191.0,Single family residential,1991.0,Active
205 kinkead ct,El dorado hills,El-Dorado-County,Ca,95762,1025000.0,26,11.0,5.0,3.0,2963.0,Single family residential,2000.0,Active
4107 milano ct,El dorado hills,El-Dorado-County,Ca,95762,825000.0,47,22.0,4.0,3.0,3461.0,Single family residential,1991.0,Active
1742 lancaster pl,El dorado hills,El-Dorado-County,Ca,95762,1200000.0,8,5.0,4.0,3.5,2993.0,Single family residential,1992.0,Active
2385 green wing ln,Placerville,El-Dorado-County,Ca,95667,399000.0,42,15.0,4.0,2.0,1486.0,Single family residence,2003.0,Active
4101 lake tahoe blvd #213,South lake tahoe,El-Dorado-County,Ca,96150,1795000.0,72,71.0,3.0,3.0,1616.0,Condo,2017.0,Active
4330 panorama dr #32,Placerville,El-Dorado-County,Ca,95667,110000.0,4,6.0,3.0,2.0,1016.0,Mobile/manufactured home,1982.0,Active
3921 archwood rd,Cameron park,El-Dorado-County,Ca,95682,575000.0,32,11.0,2.0,2.0,2010.0,Single family residential,1979.0,Active
4001 bright hope mine rd,Placerville,El-Dorado-County,Ca,95667,475000.0,0,0.0,3.0,2.0,1764.0,Single family residential,1978.0,Active
1586 daunting dr,El dorado hills,El-Dorado-County,Ca,95762,799000.0,7,26.0,4.0,3.0,3172.0,Single family residential,2001.0,Active
1464 sterling ct,South lake tahoe,El-Dorado-County,Ca,96150,1350000.0,5,11.0,4.0,3.0,2216.0,"Residential, single family",1974.0,Active
5247 degas way,El dorado hills,El-Dorado-County,Ca,95762,1125000.0,2,27.0,4.0,3.0,3500.0,Single family residential,2013.0,Active
2798 knollwood dr,Cameron park,El-Dorado-County,Ca,95682,670000.0,5,1.0,3.0,2.0,1805.0,Single family residential,1978.0,Active
4760 jubilee trl,Shingle springs,El-Dorado-County,Ca,95682,899000.0,0,3.0,3.0,2.0,2988.0,Single family residential,1987.0,Active
1999 union ridge rd,Placerville,El-Dorado-County,Ca,95667,455000.0,1,0.0,2.0,2.5,1232.0,Single family residential,1962.0,Active
6607 center view dr,Pollock pines,El-Dorado-County,Ca,95726,187900.0,38,11.0,2.0,1.0,1036.0,Single family residential,1962.0,Active
1390 ski run blvd #23,South lake tahoe,El-Dorado-County,Ca,96150,539000.0,40,34.0,2.0,2.0,800.0,Condo,1973.0,Active
6353 main st,Georgetown,El-Dorado-County,Ca,95634,299000.0,41,22.0,2.0,1.0,616.0,Single family residential,1948.0,Active
554 encina dr,El dorado hills,El-Dorado-County,Ca,95762,616000.0,0,1.0,3.0,2.0,2110.0,Single family residential,1978.0,Active
5563 gold hill rd,Placerville,El-Dorado-County,Ca,95667,1595000.0,0,27.0,4.0,3.0,3949.0,Single family residential,2017.0,Active
1410 ski run blvd #6,South lake tahoe,El-Dorado-County,Ca,96150,420000.0,25,35.0,2.0,1.5,832.0,"Residential, townhouse",1972.0,Active
868 green st,Placerville,El-Dorado-County,Ca,95667,410000.0,77,27.0,2.0,1.0,792.0,Single family residential,1953.0,Active
5030 bend ct,Pollock pines,El-Dorado-County,Ca,95726,429900.0,7,2.0,3.0,2.0,1390.0,Single family residential,1962.0,Active
5079 arlington way,El dorado hills,El-Dorado-County,Ca,95762,975000.0,8,14.0,5.0,4.0,3485.0,Single family residential,2012.0,Active
4680 holiday lake dr,Shingle springs,El-Dorado-County,Ca,95682,839000.0,7,6.0,3.0,2.0,2401.0,Single family residential,1977.0,Active
818 spring st,Placerville,El-Dorado-County,Ca,95667,389000.0,81,27.0,3.0,2.0,1085.0,Single family residential,1896.0,Active
4070 plateau cir,Cameron park,El-Dorado-County,Ca,95682,900000.0,5,6.0,4.0,3.0,2796.0,Single family residential,2001.0,Active
5398 brentford way,El dorado hills,El-Dorado-County,Ca,95762,1149000.0,1,0.0,5.0,4.0,3458.0,Single family residential,2008.0,Active
2564 knox ave,South lake tahoe,El-Dorado-County,Ca,96150,349000.0,64,78.0,2.0,2.0,608.0,"Residential, single family",1961.0,Active
6345 main st,Georgetown,El-Dorado-County,Ca,95634,199000.0,41,22.0,4.0,1.0,1448.0,Single family residential,1850.0,Active
3460 montero rd,Cameron park,El-Dorado-County,Ca,95682,789000.0,14,10.0,5.0,3.0,2504.0,Single family residential,1989.0,Active
2379 summer dr,El dorado hills,El-Dorado-County,Ca,95762,859000.0,3,11.0,3.0,2.5,2434.0,Single family residential,2003.0,Active
7000 pioneer dr,Grizzly flats,El-Dorado-County,Ca,95636,399999.0,0,11.0,3.0,2.0,1312.0,Single family residential,1977.0,Active
2745 king richard,El dorado hills,El-Dorado-County,Ca,95762,699000.0,8,18.0,4.0,2.0,2131.0,Single family residential,1966.0,Active
721 hildebrand cir,Folsom,El-Dorado-County,Ca,95630,1100000.0,0,47.0,4.0,3.0,2721.0,Single family residential,2007.0,Active
5463 hibiscus ct,Pollock pines,El-Dorado-County,Ca,95726,385000.0,0,0.0,3.0,2.0,1483.0,Single family residential,1987.0,Active
2877 us highway 50,South lake tahoe,El-Dorado-County,Ca,96150,1099000.0,30,58.0,2.0,1.0,1338.0,"Residential, single family",1969.0,Active
3402 s upper truckee rd,South lake tahoe,El-Dorado-County,Ca,96150,1348000.0,0,29.0,4.0,3.0,2825.0,"Residential, single family",2017.0,Active
4079 david loop,El dorado hills,El-Dorado-County,Ca,95762,769000.0,14,20.0,3.0,2.5,2128.0,Single family residential,2012.0,Active
5541 bucks bar cir,Placerville,El-Dorado-County,Ca,95667,389000.0,0,0.0,1.0,2.0,872.0,Single family residential,1952.0,Active
1598 country club dr,Placerville,El-Dorado-County,Ca,95667,694000.0,4,1.0,4.0,3.0,2502.0,Single family residential,1981.0,Active
1380 loka ln,Greenwood,El-Dorado-County,Ca,95635,625000.0,0,0.0,3.0,3.0,2870.0,Single family residential,2009.0,Active
543 dali ct,El dorado hills,El-Dorado-County,Ca,95762,1499000.0,1,23.0,4.0,4.5,4045.0,Single family residential,2016.0,Active
9033 cerro vista dr,El dorado hills,El-Dorado-County,Ca,95762,779000.0,18,28.0,2.0,2.5,1977.0,Single family residential,2019.0,Active
4380 creekside dr,Shingle springs,El-Dorado-County,Ca,95682,750000.0,0,0.0,3.0,3.0,2486.0,Single family residential,1979.0,Active
2431 n shingle rd,Shingle springs,El-Dorado-County,Ca,95682,329000.0,3,1.0,1.0,1.0,700.0,Single family residential,1958.0,Active
7274 8th ave,Tahoma,El-Dorado-County,Ca,96142,784000.0,7,24.0,4.0,1.0,1140.0,"Residential, single family",1956.0,Active
516 emerald bay rd #421,South lake tahoe,El-Dorado-County,Ca,96150,275000.0,25,48.0,1.0,1.0,678.0,Condo,1972.0,Active
658 hildebrand cir,Folsom,El-Dorado-County,Ca,95630,775000.0,0,35.0,3.0,2.0,1687.0,Single family residential,2005.0,Active
3375 country club dr,Cameron park,El-Dorado-County,Ca,95682,750000.0,57,34.0,3.0,2.5,2334.0,Single family residential,1987.0,Active
5406 grassy run rd,Placerville,El-Dorado-County,Ca,95667,1149900.0,0,1.0,5.0,3.5,3261.0,Single family residential,1990.0,Active
6010 e lyla park pl,El dorado hills,El-Dorado-County,Ca,95762,755118.0,12,14.0,4.0,4.0,2592.0,Single family residential,2022.0,Active
4775 - 4777 artesia rd,Shingle springs,El-Dorado-County,Ca,95682,909000.0,8,5.0,2.0,2.5,2000.0,Multi-family (2-4 unit),2006.0,Active
1281 pleasant valley rd #41,Diamond springs,El-Dorado-County,Ca,95619,289000.0,1,0.0,2.0,2.0,1318.0,Mobile/manufactured home,1979.0,Active
7760 state highway 49,El dorado,El-Dorado-County,Ca,95623,699000.0,0,0.0,3.0,3.0,2306.0,Single family residential,1978.0,Active
2112 tarbolton cir,Folsom,El-Dorado-County,Ca,95630,1799000.0,7,51.0,6.0,4.5,4000.0,Single family residential,2001.0,Active
3180 weymouth way,Rescue,El-Dorado-County,Ca,95672,969000.0,13,12.0,5.0,3.0,3330.0,Single family residential,2002.0,Active
1306 green valley rd,El dorado hills,El-Dorado-County,Ca,95762,1149950.0,5,12.0,4.0,3.0,2879.0,Single family residential,1992.0,Active
2968 coloma st,Placerville,El-Dorado-County,Ca,95667,525000.0,83,27.0,3.0,1.5,2010.0,Multi-family (2-4 unit),1938.0,Active
4842 northern lights rd,Placerville,El-Dorado-County,Ca,95667,550000.0,5,0.0,3.0,2.0,1800.0,Single family residential,1990.0,Active
2781 crystal springs rd,Camino,El-Dorado-County,Ca,95709,439900.0,13,0.0,3.0,2.0,1560.0,Single family residential,1964.0,Active
3622 cambridge rd,Cameron park,El-Dorado-County,Ca,95682,674900.0,20,8.0,3.0,2.0,2176.0,Single family residential,1989.0,Active
741 hildebrand cir,Folsom,El-Dorado-County,Ca,95630,935000.0,1,36.0,4.0,2.5,3176.0,Single family residential,2006.0,Active
6906 bayne rd,Placerville,El-Dorado-County,Ca,95667,595000.0,0,0.0,3.0,2.0,1852.0,Single family residential,1980.0,Active
3340 lariat dr,Cameron park,El-Dorado-County,Ca,95682,1600000.0,21,31.0,4.0,2.5,2587.0,Single family residential,1980.0,Active
3378 s upper truckee rd,South lake tahoe,El-Dorado-County,Ca,96150,798000.0,0,32.0,3.0,2.0,1729.0,"Residential, single family",1965.0,Active
3749 sudbury rd,Cameron park,El-Dorado-County,Ca,95682,729000.0,16,10.0,3.0,3.0,2024.0,Single family residential,1973.0,Active
2909 moose trl,Greenwood,El-Dorado-County,Ca,95635,349000.0,0,0.0,1.0,1.0,980.0,Single family residential,1980.0,Active
1057 sundown trl,South lake tahoe,El-Dorado-County,Ca,96150,849000.0,0,15.0,3.0,2.5,1872.0,"Residential, single family",1972.0,Active
3427 excalibar rd,Placerville,El-Dorado-County,Ca,95667,475000.0,1,23.0,3.0,2.0,1652.0,Single family residential,1989.0,Active
2829 stone ln,Placerville,El-Dorado-County,Ca,95667,425000.0,50,30.0,3.0,2.0,1030.0,Single family residential,1940.0,Active
7040 calcite dr,El dorado,El-Dorado-County,Ca,95623,635000.0,0,0.0,3.0,2.5,2404.0,Single family residential,1979.0,Active
10429 wentworth springs rd,Georgetown,El-Dorado-County,Ca,95634,290000.0,0,12.0,1.0,1.0,792.0,Single family residential,2013.0,Active
10431 wentworth springs rd,Georgetown,El-Dorado-County,Ca,95634,225000.0,0,12.0,3.0,1.0,768.0,Single family residential,1943.0,Active
6970 fools canyon rd,Georgetown,El-Dorado-County,Ca,95634,625000.0,0,0.0,3.0,3.0,2050.0,Single family residential,1990.0,Active
5572 manzanita ln,Placerville,El-Dorado-County,Ca,95667,569000.0,3,20.0,3.0,2.0,1895.0,Mobile/manufactured home,2014.0,Active
262 muse dr,El dorado hills,El-Dorado-County,Ca,95762,1199000.0,5,8.0,4.0,2.5,2838.0,Single family residential,1990.0,Active
4101 lake tahoe blvd #311,South lake tahoe,El-Dorado-County,Ca,96150,1545000.0,72,71.0,2.0,2.0,1273.0,Condo,2017.0,Active
3013 courtside dr,Diamond springs,El-Dorado-County,Ca,95619,399000.0,30,25.0,3.0,2.0,1438.0,Single family residential,2001.0,Active
5192 padova dr,El dorado hills,El-Dorado-County,Ca,95762,1199999.0,3,8.0,3.0,3.5,3024.0,Single family residential,2019.0,Active
2986 spring view ln #112,Placerville,El-Dorado-County,Ca,95667,249000.0,37,14.0,2.0,2.5,1440.0,Mobile/manufactured home,1974.0,Active
2720 brown bear ct,Cool,El-Dorado-County,Ca,95614,504500.0,0,0.0,3.0,3.0,2499.0,Single family residential,1983.0,Active
2762 via fiori,El dorado hills,El-Dorado-County,Ca,95762,1595000.0,1,18.0,4.0,3.5,3865.0,Single family residential,2006.0,Active
8281 fairplay rd,Somerset,El-Dorado-County,Ca,95684,550000.0,3,1.0,3.0,3.0,2400.0,Single family residential,1989.0,Active
7003 lewis ave,Tahoma,El-Dorado-County,Ca,96142,2800000.0,9,46.0,5.0,4.0,3035.0,Single family residential,2020.0,Active
6103 manhattan creek rd,Garden valley,El-Dorado-County,Ca,95633,510000.0,9,4.0,3.0,2.5,1764.0,Single family residential,1988.0,Active
5990 mine car ln,Georgetown,El-Dorado-County,Ca,95634,399000.0,26,8.0,3.0,2.0,1248.0,Mobile/manufactured home,1990.0,Active
2861 oakland ave,South lake tahoe,El-Dorado-County,Ca,96150,2350000.0,58,87.0,7.0,4.0,3120.0,Single family home,1963.0,Active
5721 dolomite dr,El dorado,El-Dorado-County,Ca,95623,639000.0,5,12.0,3.0,2.0,2208.0,Single family residential,1977.0,Active
1040 lemon grass ct,Placerville,El-Dorado-County,Ca,95667,525000.0,2,2.0,3.0,2.0,1903.0,Single family residential,2000.0,Active
3380 foxmore ln,Rescue,El-Dorado-County,Ca,95672,1097000.0,6,25.0,3.0,2.5,2744.0,Single family residential,2022.0,Active
1035 reno ave,South lake tahoe,El-Dorado-County,Ca,96150,529000.0,74,93.0,2.0,2.5,500.0,"Multi-family, duplex/triplex/fourplex",1958.0,Active
1031 reno ave,South lake tahoe,El-Dorado-County,Ca,96150,539000.0,74,93.0,1.0,3.0,389.0,"Multi-family, triplex",1954.0,Active
1029 reno ave,South lake tahoe,El-Dorado-County,Ca,96150,529000.0,76,96.0,2.0,2.0,851.0,"Multi-family, duplex/triplex/fourplex",1964.0,Active
2852 gold trl,Placerville,El-Dorado-County,Ca,95667,499900.0,0,10.0,3.0,2.0,2143.0,Single family residential,2003.0,Active
7750 happy valley rd,Somerset,El-Dorado-County,Ca,95684,749000.0,0,0.0,2.0,2.0,1715.0,Single family residential,1997.0,Active
2470 roundhill cir,Placerville,El-Dorado-County,Ca,95667,885000.0,0,0.0,4.0,2.0,2597.0,Single family residential,1990.0,Active
2571 westville trl,Cool,El-Dorado-County,Ca,95614,579000.0,6,0.0,3.0,2.0,1974.0,Single family residential,2002.0,Active
2681 cameron park dr #137,Cameron park,El-Dorado-County,Ca,95682,239000.0,36,30.0,2.0,2.0,1248.0,Mobile/manufactured home,1974.0,Active
4171 lime kiln rd,Placerville,El-Dorado-County,Ca,95667,498900.0,50,24.0,3.0,2.0,1202.0,Single family residential,1962.0,Active
570 guadalupe dr,El dorado hills,El-Dorado-County,Ca,95762,949500.0,0,0.0,4.0,2.5,2354.0,Single family residential,1980.0,Active
2851 douglas fir dr,Camino,El-Dorado-County,Ca,95709,409904.0,3,2.0,3.0,2.0,1542.0,Single family residential,1973.0,Active
8015 catalonia ln,El dorado hills,El-Dorado-County,Ca,95762,579000.0,22,29.0,2.0,2.0,1230.0,Single family residential,2017.0,Active
8343 fairplay rd,Somerset,El-Dorado-County,Ca,95684,629000.0,1,0.0,3.0,3.0,3200.0,Multi-family (2-4 unit),1992.0,Active
3628 forest ave,South lake tahoe,El-Dorado-County,Ca,96150,699000.0,74,86.0,4.0,2.0,1272.0,Cabin,1941.0,Active
7821 old trail rd,Somerset,El-Dorado-County,Ca,95684,359000.0,0,0.0,2.0,2.0,1440.0,Mobile/manufactured home,1977.0,Active
2790 osborne rd,Cameron park,El-Dorado-County,Ca,95682,678000.0,17,7.0,3.0,2.0,1692.0,Single family residential,1968.0,Active
